X1,X2,Y
0.997072,-0.764072,1
-0.040078,-0.349546,1
0.818753,0.829183,0
1.211097,-0.471013,1
0.933354,-0.20032,1
-1.262734,-0.192752,0
1.472114,-0.398201,1
0.89601,-0.329267,1
0.713855,0.694259,0
-0.95932,0.965227,0
1.741027,0.104511,1
0.813743,0.316265,0
0.139938,-0.569516,1
1.282374,-1.046759,1
1.081902,-0.033214,0
-0.320773,1.015594,0
1.596947,0.388848,1
-0.708881,1.027186,0
1.082953,-0.84593,1
0.200234,0.157621,1
0.566595,0.000156,1
0.083579,1.225781,0
-0.975018,0.431226,0
-0.582501,0.605882,0
1.139353,-0.983698,1
-0.774846,0.419582,0
0.484316,-0.329699,1
2.235723,0.324486,1
1.434865,-0.619932,1
1.713112,0.292747,1
-0.365769,1.046442,0
0.856053,0.971306,0
0.699024,0.064083,0
-0.981367,0.683472,0
0.422056,-0.474305,1
0.046952,0.569654,1
-0.03266,-0.092526,1
-0.20811,-0.272663,1
1.837142,0.624815,1
0.647593,0.339587,0
1.416724,-1.120495,1
-0.173107,1.156701,0
-0.327852,0.871442,0
0.713999,0.567694,0
0.306958,0.413861,0
-0.632155,0.533172,0
0.996094,-0.910675,1
0.375903,0.802857,0
1.031714,0.051258,0
0.790118,1.021143,0
-0.186058,0.584491,0
0.285016,-0.287634,1
-0.241359,-0.118204,1
-0.795294,0.771663,0
-0.25986,1.003705,0
1.722559,-0.298296,1
-0.022108,0.158744,1
0.973179,-0.310628,0
2.537177,0.306006,1
-0.193723,0.319503,1
-0.80228,0.27619,0
-1.605651,0.703586,0
0.206941,1.276799,0
1.784394,0.834743,1
2.042652,0.391738,1
0.675882,-0.136601,1
1.754822,0.053995,1
-0.884263,0.573892,0
1.603573,0.091299,0
0.524607,1.16589,0
0.037309,0.548716,1
0.953894,-0.386262,1
1.461507,0.47629,1
0.806839,0.334974,0
-0.794533,-0.032989,0
1.264664,-0.650911,1
0.918956,0.655498,0
-0.496917,1.212889,0
0.012905,-0.479952,1
-1.072213,0.319221,0
-0.806539,0.521998,0
0.003658,0.258522,1
1.523963,-0.416676,1
0.862772,-0.742868,1
0.933606,-0.55345,1
-0.078922,1.676517,0
0.528074,-0.182491,1
1.234699,-0.856628,1
1.831637,-0.655418,1
0.462764,-0.283574,1
1.409679,0.28447,1
0.394458,1.298119,0
2.162841,-0.175043,1
