X1,X2,Y
-2.821787056,2.515420463,-1
3.490298125,1.194087984,1
-3.775427853,-2.684004342,1
2.217170269,4.140827569,1
3.635185739,0.9699779216,1
2.224246782,0.7878815968,1
-1.275454498,2.185016136,-1
4.940276765,-0.9290577897,-1
2.068710535,-4.044195665,-1
-3.730269534,3.665539591,-1
-0.6743863365,-0.6558260882,1
-3.351848122,1.876449221,-1
1.480799412,-1.155124645,-1
-2.416653956,3.321709307,-1
4.269162405,-1.690899381,-1
-0.9217351865,-4.261118022,1
4.203480941,-1.678313801,-1
-2.033251785,-0.9623823888,1
-0.5808925297,-4.050343041,1
1.772332498,-3.035468351,-1
-0.9805676464,2.502484424,-1
3.180196681,-3.269938408,-1
0.8802400463,-1.501855981,-1
-4.271147469,-0.8216136293,1
-1.972083886,0.8864880301,-1
-4.886854758,2.176122483,-1
-1.059800196,-3.860091311,1
-3.06533803,-0.9336070866,1
4.039891143,0.8920429465,1
-2.764063155,-0.6271723864,1
-4.533906358,2.329278625,-1
4.091590904,-0.7503717448,-1
4.756669848,-3.918332813,-1
-4.82461624,-1.361806332,1
-0.448378626,-1.438886691,1
-3.492062797,-3.713036693,1
5.148125699,-3.008676686,-1
5.143913577,3.998577354,1
1.098392358,-0.7201328858,1
2.75519166,-2.252535138,-1
2.388988173,-1.67042763,-1
2.38233713,3.729986674,1
-3.997596376,2.687186182,-1
-2.223854518,-3.174713481,1
0.6787969029,-3.517021447,1
3.534660998,2.105125607,1
0.5695440053,1.836044686,-1
1.492859551,2.822628604,1
2.678407752,4.911777225,1
4.609935606,-3.123076793,-1
-3.841464635,-1.247315443,1
-4.921657855,1.988794563,-1
3.544206904,-3.267706741,-1
-0.8613136037,0.6995635464,-1
1.512367605,-0.6507756458,-1
-4.378050889,1.253348093,-1
0.6687612567,5.015927867,-1
-0.8253560864,-1.988321856,1
3.348756945,4.498357957,1
-4.506865696,-2.194440486,1
-3.387107351,-3.933753965,1
-2.754519054,-0.888454663,1
-2.749863047,-3.150165074,1
2.398872956,-4.639676469,-1
4.973796384,-4.100197049,-1
-2.819181132,4.512625229,-1
4.573433312,-0.9496463874,-1
-0.9105806906,4.540736684,-1
2.525362195,-3.576759471,-1
-2.174902006,0.8666674097,-1
-3.758359301,3.060998873,-1
-5.169188243,-2.565176207,1
4.912194474,0.6288832912,1
3.776391433,1.090117622,1
-1.587195587,3.532835918,-1
3.278056877,4.132049932,1
3.033400183,1.788406904,1
-4.07490075,4.662041431,-1
-0.7017477575,2.834368756,-1
-5.204244361,-3.87799926,1
-1.583287909,2.627547812,-1
-0.7027591888,1.060226608,-1
4.511728156,-5.297023458,-1
-2.62693872,-3.753846125,1
3.196334202,-4.126448157,-1
-2.032237648,-5.223591038,1
2.741446982,2.108050971,1
4.283839099,4.032800385,1
0.6189941188,-1.753148422,-1
